freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,sensitivity,predictor_set,label_definition,training_population,validation_year,population,notes,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2022,P_valid_2022,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2074,529,1545,0.2550626808100289,roc_auc,0.7182581777916445,0.6934663547859187,0.7443421894192596,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2022,P_valid_2022,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2074,529,1545,0.2550626808100289,pr_auc,0.4676892675483292,0.4245457085423295,0.5128957774677624,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2022,P_valid_2022,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2074,529,1545,0.2550626808100289,brier_score,0.16830077045221034,0.16013714636929577,0.17671093711094027,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2022,P_valid_2022,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2074,529,1545,0.2550626808100289,calibration_slope,1.3002588883110615,1.1243340762657976,1.497646307360119,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2022,P_valid_2022,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2074,529,1545,0.2550626808100289,calibration_in_the_large,-0.09837507160598499,-0.20833453555016251,-0.0017468553827275557,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2023,P_valid_2023,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2300,572,1728,0.24869565217391304,roc_auc,0.7054762367262367,0.6814152734389181,0.7291085729418578,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2023,P_valid_2023,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2300,572,1728,0.24869565217391304,pr_auc,0.4727355543567695,0.4318093290695183,0.514624555670688,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2023,P_valid_2023,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2300,572,1728,0.24869565217391304,brier_score,0.16664235629903318,0.1593147638071572,0.17454573956422934,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2023,P_valid_2023,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2300,572,1728,0.24869565217391304,calibration_slope,1.2801210829405534,1.1133745392645038,1.4502817605226734,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,country_blind,reduced_without_geography,cumulative citations,2018-2021,2023,P_valid_2023,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2300,572,1728,0.24869565217391304,calibration_in_the_large,-0.12941978516868385,-0.22342705243069003,-0.03290260428614994,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2022,P_valid_2022,outcome relabelled on a fixed window; same average-rank tie convention,2074,537,1537,0.2589199614271938,roc_auc,0.6938502657599207,0.6661338841833476,0.7217246409463305,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2022,P_valid_2022,outcome relabelled on a fixed window; same average-rank tie convention,2074,537,1537,0.2589199614271938,pr_auc,0.4381482724271505,0.3994303223062188,0.4857538478820871,1000,1000,42
