freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,model_role,predictor_set,sensitivity,algorithm,calibration_method,training_years,validation_year,population,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,comparator,difference_direction,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,roc_auc,0.7256110020127126,0.7012595337421788,0.7507195586018652,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,pr_auc,0.4750662133161042,0.43038323669090855,0.5203937467042601,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,brier_score,0.1668756336509235,0.15827305893869245,0.175180153453271,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_slope,1.223280916921925,1.060142860369485,1.4050681155525757,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_in_the_large,-0.06374090576839946,-0.17244321240463117,0.03545291020594407,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,roc_auc,0.7112926136363635,0.6878304680708032,0.7337816632939506,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,pr_auc,0.4714918771088544,0.4301854255512456,0.5140633688453458,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,brier_score,0.16583233850362444,0.15824369534069085,0.17401622188264942,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,calibration_slope,1.1552398827161723,1.0050153243434985,1.3075691879538383,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,expanded,comparator,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,calibration_in_the_large,-0.16752084715577267,-0.2637109118847107,-0.06440696187075476,1000,1000,42,,,separate held-out-year evaluation
