freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,predictor_set,cv_scheme,operating_point,target_flagged_per_100,training_probability_cutoff,training_actual_flagged_per_100,validation_year,n,events,non_events,metric,numerator,denominator,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2022,2074,529,1545,specificity,1189,1545,0.7695792880258899,0.7486932289138325,0.790538974293551,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2022,2074,529,1545,positive_predictive_value,282,638,0.44200626959247646,0.40156832780770824,0.48097985347985345,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2022,2074,529,1545,negative_predictive_value,1189,1436,0.8279944289693594,0.8082708068770147,0.8475428258447126,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2022,2074,529,1545,manuscripts_flagged_per_100,638,2074,30.76181292189007,28.68731918997107,32.690453230472514,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2023,2300,572,1728,sensitivity,293,572,0.5122377622377622,0.4717651304258171,0.552449769433465,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2023,2300,572,1728,specificity,1288,1728,0.7453703703703703,0.725564421134805,0.7658480868075386,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2023,2300,572,1728,positive_predictive_value,293,733,0.39972714870395637,0.36554227982137927,0.4330858036279496,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2023,2300,572,1728,negative_predictive_value,1288,1567,0.8219527760051053,0.803812909441994,0.8407931608527808,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2023,2300,572,1728,manuscripts_flagged_per_100,733,2300,31.869565217391305,29.955434782608695,33.82608695652174,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2022,2074,211,1863,sensitivity,99,211,0.46919431279620855,0.40096561389116764,0.5367057424396874,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
